"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Barbassano","Campania","Rosso","Le Masciare","Colore concentrato rubino scuro intenso conriflessi purpurei, al naso offre un bouquet ampioe complesso, ha profumi intensi fruttati; connote varietali di amarena, mora selvatica eprugna, giustamente tannico.","100% Aglianico","13,5%","I.G.T.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Le Masciare","Il colore è di un eccezionale e luminoso giallodorato, il suo profumo delicato di frutti tropicali efiori, con aggiunta di sentori di nocciole emandorle tostate. Il gusto è pieno, morbido,fresco e pulito, con acidità vivace e una leggeranota di noci tostate e di mandorla amara nelretrogusto.","100% Fiano","13,5%","D.O.C.G.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Greco di Tufo","Greco di Tufo","Bianco","Le Masciare","Il colore è di un giallo paglierino brillante, il suoprofumo leggermente minerale con noti dialbicocca, pera, pesca e agrumi, con un’ottimaacidità. Nel complesso risulta un vino moltoequilibrato. I toni di frutta rimangono sullosfondo con un retrogusto leggermente amaro,che ricorda le mandorle. Il terreno calcareo dàuna spiccata connotazione ai profumi del vino,che unisce una corposa struttura con piacevolinote minerali e un bouquet profumato.","100% Greco","13,5%","D.O.C.G.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Ragis Rosso","Colli di Salerno","Rosso","Le Vigne di Raito","Di colore rosso rubinointenso,vivace Il Ragis ha sentoripreponderanti di mirto, macchiamediterranea, marasca, liquirizia ecacao. È vino di carattere maequilibrato al palato, dove dominala grande struttura dell'Aglianico,che gli conferisce beva, buonacapacità d'invecchiamento edevoluzione aromatica.","80% Aglianico; 20% Piedirosso","13,5%","I.G.T.","Via San Vito, 9, Loc. Raito","Vietri sul Mare","Salerno","40.671743, 14.717926","http://www.levignediraito.com/","089 233428","",
"Passito","Paestum","Bianco","Luigi Maffini","Vino passito dal colore oro brillante. Profumo di fichi secchi ed uva appassita. Gusto dolce e persistente con lungo finale di nocciola tostata, datteri ed albicocche secche.","100% Fiano","","I.G.T.","Località Cenito","Castellabate","Salerno","40.270355, 14.943940","http://www.luigimaffini.it/","0974 966345","",
"Kleos","Paestum","Rosso","Luigi Maffini","Colore rosso rubino con riflessi violacei. L'odore ricorda le ciliegie e la confettura di ribes. Al gusto è morbido con note speziate ed un finale fresco e persistente.","100% Aglianico","13,5%","I.G.T.","Località Cenito","Castellabate","Salerno","40.270355, 14.943940","http://www.luigimaffini.it/","0974 966345","",
"Denazzano","Paestum","Rosato","Luigi Maffini","Delicati frutti rossi accompagnati da sentori floreali di rose. Si presenta al palato con una buona acidità ed una notevole persistenza.","100% Aglianico","12%","I.G.T.","Località Cenito","Castellabate","Salerno","40.270355, 14.943940","http://www.luigimaffini.it/","0974 966345","",
"Kratos","Paestum","Bianco","Luigi Maffini","Colore giallo paglierino intenso. Odore di frutta esotica, kiwi, miele. Morbido ed equilibrato al gusto con finale floreale e di albicocca secca.","100% Fiano","13%","I.G.T.","Località Cenito","Castellabate","Salerno","40.270355, 14.943940","http://www.luigimaffini.it/","0974 966345","",
"Cenito","Cilento","Rosso","Luigi Maffini","Colore rosso rubino intenso. Odore di ribes, more e cacao. Gusto denso con struttura tannica morbida e finale lungo con sentore di spezie, nocciola tostata e liquirizia.","100% Aglianico","14%","D.O.C.","Località Cenito","Castellabate","Salerno","40.270355, 14.943940","http://www.luigimaffini.it/","0974 966345","",
"Pietraincatenata","Cilento","Bianco","Luigi Maffini","Colore giallo oro. Gusto morbido, denso. Odore complesso di frutta esotica, canditi, albicocche secche. Finale lungo con eleganti note di mandorla tostata, menta e fiori di campo.","100% Fiano","13,5%","D.O.C.","Località Cenito","Castellabate","Salerno","40.270355, 14.943940","http://www.luigimaffini.it/","0974 966345","",
"Borgomastro","Colli di Salerno","Rosso","Lunarossa Vini","Colore rosso scuro, segnato da note che spaziano dalla lavanda al lampone, dalla spezia mediterranea ai frutti di bosco.","100% Aglianico","","I.G.T.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Costacielo","Campania","Rosato","Lunarossa Vini","All'occhio è di un brillante rosa cerasuolo con riflessi ramati. Al naso si esprime con note affumicate e fruttate fresche su un fondo speziato. Il quadro aromatico è frutto del connubio dei due vitigni che conferiscono una evidente complessità","50% Merlot; 50% Cabernet","12,5%","I.G.T.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Costacielo","Campania","Bianco","Lunarossa Vini","All'occhio è di un limpidissimo giallo appena dorato e con riflessi verdi. Al naso esprime un fruttato tropicale su fondo floreale intensissimo, frutto del connubio dei due vitigni che gli conferiscono una note evidente di nocciola e frutta secca.","70% Fiano; 30% Falanghina","12,5%","I.G.T.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Rossomarea","Colli di Salerno","Rosso","Lunarossa Vini","All'occhio è rosso rubino scuro con un denso riflesso viola, al naso si conferma giovane, con piccoli frutti di bosco, ribes rosso, mora, caramella alla rosa, spezie dolci e liquirizia.","80% Aglianico; 20% Merlot","14%","I.G.T.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Quartara","Colli di Salerno","Bianco","Lunarossa Vini","Alla vista è netto nella sua integrità, ricco di sfumature dorate e toni verdi. Si esprime con evidenti note speziate di anice e biancospino, melannurca, miele di acacia e castagno, fiori di arancio e camomilla.","90% Fiano; 10% Santa Sofia","12,5%","I.G.T.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Camporeale","Campania","Bianco","Lunarossa Vini","All'occhio è di un limpidissimo giallo con riflessi verdi. Al naso esprime un fruttato tropicale su fondo floreale.","100% Falanghina","12,5%","I.G.P.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Camporeale","Campania","Rosso","Lunarossa Vini","All'occhio è rosso vivo, al naso si esprime giovane con frutti di bosco, ciliegia e mora.","100% Aglianico","12,5%","I.G.T.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Costacielo","Campania","Rosso","Lunarossa Vini","All'occhio è rosso rubino vivo con riflessi violacei, al naso si esprime giovane, con piccoli frutti di bosco, fieno maturo, mora e ciliegia.","50% Aglianico; 50% Cabernet","13%","I.G.T.","via V. Fortunato zona P.I.P. Lotto 10","Giffoni Valle Piana","Salerno","40.70634663105011,14.921091198921205","http://www.viniepassione.it/","089 8021016","",
"Falanghina Beneventano","Beneventano","Bianco","Macchialupa","","","","I.G.T.","via Fontana, frazione S. Pietro Irpino","Chianche","Avellino","41.0461566,14.7895888","http://www.macchialupa.it/","0825 996396","http://www.quattrocalici.it/produttori/macchialupa",
"Aglianico Campania","Campania","Rosso","Macchialupa","","","","I.G.T.","via Fontana, frazione S. Pietro Irpino","Chianche","Avellino","41.0461566,14.7895888","http://www.macchialupa.it/","0825 996396","http://www.quattrocalici.it/produttori/macchialupa",
"Aglianico d'Irpinia","Irpinia","Rosso","Macchialupa","Profumo fruttato e leggermente speziato con sentori di more, prugne, chiodi di garofano e cannella. Sapore secco, caldo, morbido, con tale concentrazione di tannini gentili che contribuiscono ad evidenziare un corpo particolarmente piano ed equilibrato.","100% Aglianico","","I.G.T.","via Fontana, frazione S. Pietro Irpino","Chianche","Avellino","41.0461566,14.7895888","http://www.macchialupa.it/","0825 996396","http://www.divinigusti.it/IT/cantina/vino-rosso/macchialupa-aglianico-dirpinia-igt_209.htm",
"Le Surte","Taurasi","Rosso","Macchialupa","Cristallino e d’un bel paglierino, pure intenso, nel bicchiere. Lineare e molto definito per i profumi che attaccano sulle note citrine e virano. Fresco e sapido in bocca, con la frutta secca protagonista indiscusso tra gli aromi retro-olfattivi e una persistenza netta, di una certa soddisfazione.","","","D.O.C.G.","via Fontana, frazione S. Pietro Irpino","Chianche","Avellino","41.0461566,14.7895888","http://www.macchialupa.it/","0825 996396","http://www.lucianopignataro.it/a/le-mie-origini-macchialupa-a-san-pietro-irpino-di-chianche/13832/",
"Fiano di Avellino","Fiano di Avellino","Bianco","Macchialupa","","Fiano","12,5%","D.O.C.","via Fontana, frazione S. Pietro Irpino","Chianche","Avellino","41.0461566,14.7895888","http://www.macchialupa.it/","0825 996396","http://www.quattrocalici.it/produttori/macchialupa",
"Greco di Tufo","Greco di Tufo","Bianco","Macchialupa","Colore giallo paglierino. Profumo intenso, fruttato con sentori di albicocca. Gusto secco, caldo, morbido, di buon corpo, con adeguata freschezza e persistenza aromatica.","","","D.O.C.G.","via Fontana, frazione S. Pietro Irpino","Chianche","Avellino","41.0461566,14.7895888","http://www.macchialupa.it/","0825 996396","http://www.vinit.net/vini/etichette/Campania/Avellino/Chianche/Macchialupa/Greco_di_Tufo_939.html",
"Rossocupo","Irpinia Campi Taurasini","Rosso","Manimurci","Affascinante rosso rubino. Seduce la potenza dei profumi di vaniglia, spezie e frutti rossi. Imponente nella sua complessità degustativa, sapore secco in cui si armonizzano i tannini.","100% Aglianico","13,5%","D.O.C.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"4 Contrade","Irpinia","Rosso","Manimurci","Ha un colore rosso rubino carico e aromi complessi dove primeggiano note di frutti rossi e spezie. Il gusto corposo si impone al palato in modo quasi autorevole. I tannini morbidi carezzano la lingua e completano la pienezza di un vino generoso.","100% Aglianico","13,5%","D.O.C.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Falange","Sannio","Bianco","Manimurci","Colore giallo paglierino con tinte verdognole. Il profumo è ben pronunciato, si alternano in sequenza mela verde e ananas acerbo, ginestra in fiore e limoncella. Sapore secco, pieno, fruttato. La spiccata acidità è in un delicato equilibrio con la sua struttura.","100% Falanghina","13%","D.O.C.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Puella","Campania","Bianco","Manimurci","Colore giallo paglierino con riflessi verdognoli, fruttato fresco, con sentori di mela verde e ananas acerbo, con una spiccata acidità in equilibrio perfetto con la struttura del vino.","100% Falanghina","12-12,5%","I.G.T.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Rifrisco","Irpinia","Bianco","Manimurci","Colore giallo paglierino con odori fruttati complessi, sapore fresco, morbido, giustamente acidulo, ben armonizzato","100% Coda di Volpe","12-12,5%","D.O.C.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Calore","Campania","Rosso","Manimurci","Ha un colore rosso rubino carico, con odori di frutti rossi che ricordano le ciliege e le prugne, dal sapore corposo, con una giusta tannicità ben amalgamata.","100% Aglianico","12-12,5%","I.G.T.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Zagreo","Greco di Tufo","Bianco","Manimurci","Giallo paglia fresco e attraente. Sentori di frutta succosa, si staglia nitida la pesca, poi emergono vaniglia e miele. Quello che promette alla vista e al naso offre poi al palato; struttura impeccabile, acidità accennata.","100% Greco","13%","D.O.C.G.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Nepente","Fiano di Avellino","Bianco","Manimurci","Mix tra freschezza e finezza. Dal colore giallo paglia si passa subito all'eleganza dei sentori di ananas e pera. Perfettamente strutturato e morbido. L'acidità è quella di un Fiano dall'equilibrio miracoloso.","100% Fiano","13%","D.O.C.G.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Poema","Taurasi","Rosso","Manimurci","Colore rubino granato, brillante e intenso, compatto, al naso si presenta elegante con sentori netti di frutta rossa in confettura, con sentori floreali e speziati. In bocca la sensazione è di ottima consistenza, articolata ed equilibrata, con tannini ben fusi con un finale lungo e intenso.","100% Aglianico","14-15%","D.O.C.G.","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Martinotti","Aversa","Bianco","Masseria Campito","Colore giallo paglierino scarico con riflessi verdognoli, spuma fine e persistente. Al naso sono evidenti piacevoli note fruttate che ricordano il lime e frutta tropicale. All'esame gustativo risulta fresco con un buon equilibrio acido e una buona struttura.","100% Asprinio","","D.O.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Piazza","Aversa","Bianco","Masseria Campito","Colore giallo paglierino con riflessi dorati, spuma fine e persistente e perlage a grana fine. Al naso sono evidente piacevoli note agrumate riconducibili alla buccia di limone e note dolci che ricordano la crosta di pane e le nocciole. All'esame gustativo ha una buona persistenza e buon equilibrio acido per questo risulta assai fresco e al tempo stesso morbido legato alla buona struttura del vino stesso.","100% Asprinio","","D.O.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Falasprì","Campania","Bianco","Masseria Campito","","","","I.G.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Atellanum","Aversa","Bianco","Masseria Campito","Colore giallo paglierino con riflessi dorati. Al naso sono evidente piacevoli note agrumate riconducibili alla buccia di limone e note di lime e mela verde. All'esame gustativo ha buona persistenza e buon equilibrio acido, per questo risulta assai fresco con buona struttura del vino stesso.","100% Asprinio","","D.O.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Nymphis Sacrae","Beneventano","Bianco","Masseria Frattasi","Colore giallo su fondo di carta bianca, acidità freschissima, sapore minerale di pietra focaia, note evidenti e persistenti di marmellata di prugne.","100% Coda di volpe","13,5%","I.G.P.","Via Frattasi, 1","Montesarchio","Benevento","41.071837, 14.628939","http://www.masseriafrattasi.it/it/","0824 834392","",
