"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"NovaSerra","Greco di Tufo","Bianco","Greco di Tufo","Mastroberardino","Giallo paglierino intenso. Spiccano i sentori di albicocca, pera, mela, pesca, agrumi, mandorla verde, con note di salvia e sentori minerali. Si apprezza un’ottima acidità, sensazioni che richiamano frutti maturi. Grande struttura e spiccata sapidità","100% Greco","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Antheres","Irpinia","Rosso","Aglianico Passito","Mastroberardino","Rosso rubino con riflessi granati. Profilo olfattivo intenso e singolare, con evidenti sentori che ricordano la sorba, le nespole, il corbezzolo, i fichi secchi, i datteri e la frutta rossa sotto spirito. Avvolgente, elegante e persistente con chiare note di prugna, ciliegia amara e spezie.","100% Aglianico","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Vignadangelo","Greco di Tufo","Bianco","Greco di Tufo","Mastroberardino","Giallo paglierino. Sentori fruttati di pompelmo, pesca, pera ed erbe aromatiche. Fresco, molto minerale, strutturato ed elegante.","100% Greco","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Halconero","Irpinia","Rosso","Aglianico Passito","Mastroberardino","Rosso porpora quasi impenetrabile. Caratterizzato da un profilo intenso, con note di frutti rossi maturi, confettura, spezie e sfumature balsamiche. Avvolgente, elegante e persistente.","100% Aglianico","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Lacrimarosa","Irpinia","Rosato","","Mastroberardino","Rosa tenue. Bouquet delicato, intensamente fruttato, con ricordi di pesca bianca, peonia, fragola, lampone e prugne. Morbido con fragranti note aromatiche di fragoline di bosco. Esaltante retrogusto di pesca.","100% Aglianico","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Radici Riserva Centrotrenta","Taurasi","Rosso","Taurasi Riserva","Mastroberardino","Rosso rubino intenso. Offre un bouquet ampio, complesso, intenso e particolarmente fine con caratteri che ricordano tabacco, spezie, ciliegia, viola, frutti di bosco, prugna e note balsamiche. Avvolgente, elegante e persistente in bocca. Aroma di prugna, ciliegia amara, confettura di fragole, pepe nero e cuoio","100% Aglianico","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Fiano di Avellino Vintage","Fiano di Avellino","Bianco","Fiano di Avellino","Mastroberardino","Giallo paglierino. Bouquet molto particolare, con note che ricordano i fiori appassiti, la mandorla e la nocciola. Sapore ancora sorprendente per freschezza e persistenza","100% Fiano","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"More Maiorum","Fiano di Avellino","Bianco","Fiano di Avellino","Mastroberardino","Giallo paglierino intenso. Complesso, dalle note minerali e speziate che si fondono con quelle floreali di tiglio e acacia, miele e erbette aromatiche. Note minerali che ricordano l’albicocca e la scorza d’arancia sono seguite da un lunghissimo finale di nocciola tostata.","100% Fiano","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"RediMore","Irpinia","Rosso","Aglianico","Mastroberardino","Rosso rubino intenso. Bouquet complesso, intenso e avvolgente; offre intensi aromi di frutti rossi, in particolare fragola e lampone, e spezie come vaniglia, tabacco, cacao e caffè. Caldo, avvolgente, di grande struttura, di lunga persistenza e con notevole morbidezza.","100% Aglianico","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Radici Riserva","Taurasi","Rosso","Taurasi Riserva","Mastroberardino","Rosso rubino intenso. Offre un bouquet ampio, complesso, intenso e particolarmente fine con caratteri che ricordano tabacco, spezie, ciliegia, frutti di bosco, prugna e note balsamiche. Avvolgente ed elegante in bocca. Aroma di prugna, ciliegia amara, confettura di fragole, pepe nero e liquirizia.","100% Aglianico","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Aglianico Campania","Campania","Rosso","Aglianico","Mastroberardino","Rosso rubino intenso. Si percepiscono aromi intensi di amarena, mora selvatica, viola e spezie. Elegante e morbido, con note che richiamano frutti di bosco e confettura di fragole.","100% Aglianico","","I.G.T.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Mastro Aglianico Campania","Campania","Rosso","Aglianico","Mastroberardino","Rosso rubino. Il bouquet è piacevolmente fruttato, con aromi di fragola, ciliegia, mora e violetta. Morbido con retrogusto fruttato. Mediamente corposo al palato con sentori di frutti rossi.","100% Aglianico","","I.G.T.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Lacryma Christi del Vesuvio Rosso","Vesuvio","Rosso","Lacryma Christi","Mastroberardino","Rosso rubino. In evidenza aromi di marasca e prugna, cui si aggiungono note speziate di pepe e chiodi di garofano e sensazioni minerali. Caldo, di grande struttura e morbidezza, dotato di tannini fini, ripropone al gusto le note fruttate e speziate.","100% Piedirosso","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Radici","Taurasi","Rosso","Taurasi","Mastroberardino","Rosso rubino intenso. Offre un bouquet ampio, complesso, intenso e ricco di sentori che ricordano la ciliegia, la viola, i piccoli frutti rossi e un peculiare aroma speziato. Sapore avvolgente ed elegante in bocca. Aroma di prugna, ciliegia nera, fragole e intense sensazioni speziate.","100% Aglianico","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Lacryma Christi del Vesuvio Bianco","Vesuvio","Bianco","Lacryma Christi","Mastroberardino","Giallo paglierino. Sentori di frutti maturi, pesca gialla, pera, aroma tipico di liquirizia e sentori minerali. Vino di struttura equilibrata, in bocca riemergono i sentori di frutta fusi perfettamente con le note minerali.","100% Coda di Volpe","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Morabianca","Irpinia","Bianco","Falanghina","Mastroberardino","Giallo brillante con riflessi verdognoli. Fresco e fruttato, con intense note di frutti tropicali, mela, pesca, agrumi, melone, kiwi e sfumature di odori floreali. Conferma la freschezza grazie anche ad una spiccata acidità in perfetto equilibrio con la struttura del vino.","100% Falanghina","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Mastro Greco Campania","Campania","Bianco","Greco","Mastroberardino","Giallo paglierino. Gradevole bouquet con note di cedro e frutti tropicali. Al palato è morbido e fresco con note fruttate.","100% Greco","","I.G.T.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Neroametà","Campania","Bianco","","Mastroberardino","Paglierino tenue con riflessi grigi. Bouquet particolarmente elegante, caratterizzato da ampie e complesse note floreali, di mughetto e agrumate, ben fuse con delicate note fruttate.Fresco, sapido e deciso, con un intenso retrogusto minerale.","100% Aglianico","","I.G.T.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Naturalis Historia","Taurasi","Rosso","Taurasi","Mastroberardino","Rosso rubino intenso. Bouquet complesso, ampio, intenso e persistente, offre aromi che ricordano la viola, il ribes, la mora selvatica, la fragola, la ciliegia nera, il cioccolato e la vaniglia. Sapore caldo, avvolgente, di grande struttura e morbidezza con aroma di prugna, ciliegia amara, lampone, confettura di fragola e spezie","100% Aglianico","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Melizie","Irpinia","Bianco","Fiano Passito","Mastroberardino","Giallo paglierino carico con riflessi dorati. Concentrato in aromi, diffonde sentori di tartufo bianco, datteri, fichi secchi, frutta secca, marmellata di albicocche, agrumi canditi, nocciola, caramello, miele e frutti esotici. Delicatamente dolce, di straordinaria intensità, molto equilibrato con gradevoli sentori di frutta secca, marmellata e note balsamiche.","100% Fiano","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Falanghina del Sannio","Falanghina del Sannio","Bianco","Falanghina","Mastroberardino","Giallo paglierino con riflessi verdognoli. Fresco e fruttato con spiccate note di agrumi, frutti tropicali, pesca, banana e fiori bianchi. Di grande freschezza e persistenza, con piacevole retrogusto fruttato.","100% Falanghina","","D.O.C.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Mastroberardino","Giallo paglierino. Sentori fruttati intensi e complessi, di agrumi, pesca, ananas, albicocca e lime. Fresco, molto minerale, strutturato ed elegante.","100% Greco","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Radici Riserva Antonio","Taurasi","Rosso","Taurasi Riserva","Mastroberardino","Rosso rubino intenso. Offre un bouquet ampio, complesso, intenso e particolarmente fine con caratteri che ricordano tabacco, spezie, ciliegia, frutti di bosco, prugna e note balsamiche. Avvolgente ed elegante in bocca. Aroma di prugna, ciliegia amara, confettura di fragole, pepe nero e liquirizia","100% Aglianico","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Villa dei Misteri","Pompeiano","Rosso","","Mastroberardino","Rosso rubino. Complesso, ampio, persistente, con note speziate che ricordano la vaniglia, la cannella, il tostato, note di frutti rossi, in particolare marasca, prugna e sfumature minerali. Avvolgente, equilibrato, strutturato, di notevole tessitura e spessore. Dotato di tannini fini ed eleganti","90% Piedirosso; 10% Sciascinoso","","I.G.T.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Mastro Rosso Campania","Campania","Rosso","","Mastroberardino","Rosso rubino. I profumi denotano sensazioni fruttate di prugna, fragola e ciliegia seguite da aromi speziati di pepe e cannella. Di media struttura, equilibrato, al retrogusto presenta una piacevole nota di amarena.","Aglianico; Piedirosso","","I.G.T.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Mastro Bianco Campania","Campania","Bianco","","Mastroberardino","Giallo paglierino. Il bouquet ricorda fiori freschi, l’ananas, la pesca e gli agrumi. Conferma una buona freschezza con acidità equilibrata e note di agrumi e mela cotogna.","Coda di Volpe; Falanghina; Fiano; Greco","","I.G.T.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"","","","","Mier Vini","","","","","Via F. Tedesco, 5","Taurasi","Avellino","41.009109, 14.957808","http://miervini.it/","0827 74085","",
"Monte di Grazia Bianco","Campania","Bianco","","Monte di Grazia","Colore  paglierino. Impronta olfattiva molto suggestiva e “nature”, con la presentazione di un bouquet complesso ed affascinante, in cui predominano nuances fruttate di agrumi e di nespole, innestate su percezioni di menta e di fieno. Bocca salivante e fresca, in cui l’appeal sapido-minerale la fa da padrone. Ritornano note fruttate nel finale decisamente efficace.","Pepella; Ginestra; Biancatenera","","I.G.T.","Via Orsini, 36","Tramonti","Salerno","40.694420, 14.639818","http://montedigrazia.eu/","","http://www.lucianopignataro.it/",
"Monte di Grazia Rosso","Campania","Rosso","","Monte di Grazia","Nel bicchiere si intravede una veste cromatica rubino scuro, in cui prevale l’alta percentuale di tintore. Al naso salgono subito effluvi di ribes, mirtillo, prugna, pepe e ginepro, a cui danno manforte sentori speziati, balsamici e iodati. Sorso che avviluppa il palato con sensazioni calde e leggermente tanniche, subito smorzate da una fresca lama di acidità. Timbro terroso, equilibrato, armonico e ruspante. Retrogusto persistente e godibile.","Tintore; Piedirosso","","I.G.T.","Via Orsini, 36","Tramonti","Salerno","40.694420, 14.639818","http://montedigrazia.eu/","","http://www.lucianopignataro.it/",
"Monte di Grazia Rosato","Campania","Rosato","","Monte di Grazia","Colore rosato limpido. Profilo olfattivo opulento e variegato, connotato da sentori di fragole, ciliegie, mela cotogna, scorza candita, zenzero, rosa canina, mirto e terriccio. Il sorso atterra sulla lingua soavemente, rilasciando edonistiche sensazioni di sapidità, di acidità e di mineralità. Palato pieno ed avvolgente, stuzzicato da dinamici e morbidi sentori fruttati e floreali. Chiusura leggermente amaricante.","Tintore; Moscio","","I.G.T.","Via Orsini, 36","Tramonti","Salerno","40.694420, 14.639818","http://montedigrazia.eu/","","http://www.lucianopignataro.it/",
"Campania Aglianico","Campania","Rosso","Aglianico","Montesole","È un vino piacevole e fresco, di colore rosso rubino, dal profumo intenso e dal sapore secco, con una leggera nota di legno acquisita dopo un periodo di affinamento di almeno 4 mesi in botti di rovere.","100% Aglianico","12%","I.G.T.","Via Serra","Montefusco","Avellino","41.028918, 14.882418","http://www.montesole.it/","0825 963972","",
"Campania Greco","Campania","Bianco","Greco","Montesole","Di colore giallo paglierino tenue e dall'inconfondibile aroma di pesca, giunge secco ed elegante al palato.","100% Greco","11,8%","I.G.T.","Via Serra","Montefusco","Avellino","41.028918, 14.882418","http://www.montesole.it/","0825 963972","",
"Lacryma Christi Bianco","Vesuvio","Bianco","Lacryma Christi","Montesole","Di colore giallo paglierino tenue, floreale e fruttato al naso e con un elegante finale minerale è un'eccezionale lacryma dal gusto fresco e morbido.","100% Coda di Volpe","12,40%","D.O.C.","Via Serra","Montefusco","Avellino","41.028918, 14.882418","http://www.montesole.it/","0825 963972","",
"Sairus Aglianico","Campania","Rosso","Aglianico","Montesole","Rosso rubino intenso, equilibrato di profumi speziati, di viola e frutti rossi. Al palato è deciso e armonico.","100% Aglianico","13,8%","I.G.T.","Via Serra","Montefusco","Avellino","41.028918, 14.882418","http://www.montesole.it/","0825 963972","",
"Campania Fiano","Campania","Bianco","Fiano","Montesole","Agli occhi spicca un giallo paglierino chiaro, al naso i sentori di melone bianco e frutta fresca sono accompagnati dalla tipica nota minerale. Il sapore è asciutto e armonico.","100% Fiano","11,7%","I.G.T.","Via Serra","Montefusco","Avellino","41.028918, 14.882418","http://www.montesole.it/","0825 963972","",
